2026-08-12 12:58:55,115 | INFO | Connected to Gemini WebSocket
2026-08-12 12:59:16,783 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:16,985 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:17,394 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:17,482 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:17,644 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:17,681 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:17,983 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0874999200
2026-08-12 12:59:18,168 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1284075100
2026-08-12 12:59:18,182 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1284075100
2026-08-12 12:59:18,282 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1284075100
2026-08-12 12:59:18,383 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1283303800
2026-08-12 12:59:18,485 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1279332000
2026-08-12 12:59:18,582 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1279332000
2026-08-12 12:59:18,693 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1279332000
2026-08-12 12:59:18,783 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1279332000
2026-08-12 12:59:18,883 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:18,982 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,082 | INFO | 64180.15000 0.1433421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,219 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,282 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,382 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,482 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,585 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.1279332000
2026-08-12 12:59:19,750 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
2026-08-12 12:59:19,784 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
2026-08-12 12:59:19,883 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
2026-08-12 12:59:19,984 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
